"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.93804556178778,0.258,0.015,0,"0","Efemp1"
0,4.92409975198507,0.593,0.039,0,"0","Ifi205"
0,4.87605110437223,0.505,0.027,0,"0","Dpep1"
0,4.85700702896593,0.442,0.03,0,"0","Gfpt2"
0,4.84818637468268,0.861,0.083,0,"0","Lvrn"
0,4.81325620146824,0.687,0.047,0,"0","Scara5"
0,4.81048939598535,0.371,0.03,0,"0","Apod"
0,4.80311598170167,0.439,0.028,0,"0","Adgrd1"
0,4.7823406273618,0.281,0.014,0,"0","Ms4a4d"
0,4.7281418309984,0.652,0.044,0,"0","Pdgfra"
0,3.43672881855837,0.391,0.056,0,"1","Pebp4"
1.76897562650501e-158,2.67001333559049,0.252,0.051,3.392187661386e-154,"1","D430041D05Rik"
0,2.61434812248389,0.495,0.109,0,"1","Mettl21e"
0,2.5847321169134,0.864,0.256,0,"1","Mybpc2"
1.21647825259908e-203,2.53098096085173,0.323,0.067,2.33271869718399e-199,"1","Gm15337"
7.4042757385415e-211,2.46216797486576,0.358,0.082,1.41984391562272e-206,"1","Prima1"
0,2.45184773466459,0.577,0.158,0,"1","Myhas"
2.49651286724388e-263,2.4467742916614,0.477,0.127,4.78731307422686e-259,"1","Map2k6"
7.14779133316962e-131,2.41109962494891,0.252,0.063,1.37066046604861e-126,"1","2310065F04Rik"
3.15513871474329e-165,2.38481305746678,0.296,0.069,6.05029399939174e-161,"1","Odf3l2"
0,6.2306984237141,0.308,0.005,0,"2","Gdf6"
0,6.18603670119778,0.309,0.005,0,"2","4930478K11Rik"
0,5.77384227749782,0.739,0.036,0,"2","A430010J10Rik"
0,5.49994496090477,0.566,0.039,0,"2","Hpgd"
0,5.47731848343062,0.746,0.035,0,"2","Frmd5"
0,5.40647354816796,0.84,0.052,0,"2","Hhipl1"
0,5.12800177978208,0.461,0.025,0,"2","Enpp3"
0,4.9392286746702,0.883,0.053,0,"2","Igfn1"
0,4.93586064811197,0.889,0.086,0,"2","Col19a1"
0,4.86019639440774,0.706,0.045,0,"2","Gadd45a"
4.84122596520871e-231,3.64105070707369,0.25,0.023,9.28353491088421e-227,"3","Depp1"
0,3.1580794296572,0.795,0.18,0,"3","D230025D16Rik"
0,3.14629066367497,0.851,0.203,0,"3","Tmem140"
4.3618614308085e-213,2.87652939038693,0.418,0.091,8.36430547971839e-209,"3","Sim2"
1.90310405324617e-278,2.79008774078134,0.536,0.122,3.64939233250485e-274,"3","Npc1"
6.42575470776624e-212,2.77963786589026,0.655,0.284,1.23220272276125e-207,"3","9530026P05Rik"
